n	Time
1	0.001603
1	0.001653
1	0.001639
1	0.001817
1	0.002059
1	0.001655
1	0.001815
1	0.002392
1	0.001578
1	0.001750
2	0.048418
2	0.047279
2	0.039716
2	0.041060
2	0.033575
2	0.034763
2	0.042917
2	0.044967
2	0.045009
2	0.042582
3	0.031587
3	0.030338
3	0.033692
3	0.030354
3	0.026557
3	0.032751
3	0.025405
3	0.028304
3	0.027198
3	0.027457
4	0.023343
4	0.023794
4	0.022357
4	0.024150
4	0.025331
4	0.025550
4	0.026464
4	0.026749
4	0.023470
4	0.023925
5	0.023005
5	0.022196
5	0.023598
5	0.022657
5	0.020409
5	0.026264
5	0.022283
5	0.024946
5	0.025653
5	0.023755
6	0.023871
6	0.023440
6	0.024190
6	0.023567
6	0.021070
6	0.021868
6	0.022819
6	0.024379
6	0.022582
6	0.023224
7	0.020729
7	0.021602
7	0.023740
7	0.022367
7	0.021844
7	0.020450
7	0.021589
7	0.021848
7	0.022276
7	0.024432
8	0.024163
8	0.024542
8	0.023358
8	0.020909
8	0.020587
8	0.022586
8	0.022071
8	0.021844
8	0.023036
8	0.022546
9	0.022536
9	0.022149
9	0.021805
9	0.023051
9	0.022437
9	0.027774
9	0.021590
9	0.024010
9	0.021208
9	0.025953
10	0.024606
10	0.023256
10	0.023873
10	0.021428
10	0.022599
10	0.020699
10	0.022534
10	0.020899
10	0.021974
10	0.021678
11	0.023448
11	0.024205
11	0.025302
11	0.022759
11	0.022532
11	0.024541
11	0.022921
11	0.023447
11	0.022768
11	0.022527
12	0.021735
12	0.022890
12	0.023260
12	0.025004
12	0.024544
12	0.024081
12	0.023288
12	0.024580
12	0.029441
12	0.028177
13	0.026116
13	0.025016
13	0.022668
13	0.022424
13	0.026766
13	0.023515
13	0.022164
13	0.022051
13	0.021534
13	0.021855
14	0.026176
14	0.031708
14	0.022726
14	0.023869
14	0.023607
14	0.023557
14	0.023698
14	0.023514
14	0.027080
14	0.023530
15	0.023952
15	0.025472
15	0.024868
15	0.022617
15	0.026716
15	0.026237
15	0.022811
15	0.025221
15	0.023096
15	0.025513
16	0.036300
16	0.033881
16	0.035087
16	0.031961
16	0.032620
16	0.033749
16	0.075413
16	0.036412
16	0.037308
16	0.079065
