n	Time
1	0.165903
1	0.151501
1	0.150421
1	0.152324
1	0.150191
1	0.150757
1	0.154639
1	0.153339
1	0.156173
1	0.152962
2	0.181740
2	0.163247
2	0.168353
2	0.161912
2	0.162163
2	0.172362
2	0.168597
2	0.163313
2	0.180305
2	0.163135
3	0.164359
3	0.162885
3	0.179471
3	0.181067
3	0.163562
3	0.166157
3	0.165690
3	0.191841
3	0.177846
3	0.181763
4	0.178058
4	0.187140
4	0.172493
4	0.193075
4	0.188464
4	0.180495
4	0.198526
4	0.167556
4	0.187995
4	0.172419
5	0.179307
5	0.178062
5	0.213102
5	0.194784
5	0.218032
5	0.174859
5	0.213574
5	0.233141
5	0.213526
5	0.230703
6	0.217391
6	0.207006
6	0.227453
6	0.190870
6	0.226106
6	0.209194
6	0.221468
6	0.210205
6	0.229199
6	0.223633
7	0.242912
7	0.210794
7	0.227281
7	0.227053
7	0.220797
7	0.206246
7	0.236526
7	0.227174
7	0.231005
7	0.205395
8	0.220540
8	0.217133
8	0.224729
8	0.227067
8	0.221228
8	0.221910
8	0.209243
8	0.224770
8	0.229667
8	0.200840
9	0.221317
9	0.239090
9	0.250672
9	0.218171
9	0.233869
9	0.231870
9	0.248889
9	0.267881
9	0.254888
9	0.236486
10	0.255194
10	0.236584
10	0.265762
10	0.244365
10	0.270559
10	0.248892
10	0.240545
10	0.238807
10	0.245706
10	0.253224
11	0.291463
11	0.280218
11	0.255961
11	0.259442
11	0.272747
11	0.275553
11	0.274705
11	0.275598
11	0.272834
11	0.254123
12	0.254902
12	0.268486
12	0.314133
12	0.271777
12	0.280031
12	0.293573
12	0.281998
12	0.270987
12	0.306531
12	0.293838
13	0.293603
13	0.292143
13	0.305637
13	0.306075
13	0.289046
13	0.285635
13	0.275557
13	0.299895
13	0.280318
13	0.308178
14	0.312697
14	0.321342
14	0.333944
14	0.335069
14	0.298602
14	0.300675
14	0.300469
14	0.302913
14	0.310784
14	0.307197
15	0.310551
15	0.316592
15	0.309822
15	0.323326
15	0.312969
15	0.308658
15	0.337233
15	0.308961
15	0.326070
15	0.305640
16	0.339486
16	0.338327
16	0.334317
16	0.343657
16	0.342476
16	0.351843
16	0.328180
16	0.335948
16	0.342727
16	0.336915
