M	P	NP	Time
16	16	1	0.000029
16	16	1	0.000040
16	16	1	0.000033
16	16	1	0.000041
16	16	1	0.000029
16	16	1	0.000029
16	16	1	0.000034
16	16	1	0.000030
16	16	1	0.000041
16	16	1	0.000030
16	16	2	0.001141
16	16	2	0.000447
16	16	2	0.000485
16	16	2	0.000435
16	16	2	0.000277
16	16	2	0.000307
16	16	2	0.000394
16	16	2	0.000511
16	16	2	0.000268
16	16	2	0.000507
16	16	3	0.000887
16	16	3	0.000896
16	16	3	0.001012
16	16	3	0.000426
16	16	3	0.000826
16	16	3	0.000425
16	16	3	0.000459
16	16	3	0.000625
16	16	3	0.000324
16	16	3	0.000521
16	16	4	0.002368
16	16	4	0.000462
16	16	4	0.000996
16	16	4	0.000426
16	16	4	0.000765
16	16	4	0.000554
16	16	4	0.001469
16	16	4	0.000682
16	16	4	0.000475
16	16	4	0.000799
16	16	5	0.001420
16	16	5	0.001572
16	16	5	0.000664
16	16	5	0.000539
16	16	5	0.001047
16	16	5	0.001312
16	16	5	0.000784
16	16	5	0.001002
16	16	5	0.001545
16	16	5	0.001128
16	16	6	0.001244
16	16	6	0.000983
16	16	6	0.000514
16	16	6	0.001026
16	16	6	0.000881
16	16	6	0.001098
16	16	6	0.001165
16	16	6	0.000496
16	16	6	0.001160
16	16	6	0.001129
16	16	7	0.000912
16	16	7	0.002315
16	16	7	0.000727
16	16	7	0.001267
16	16	7	0.000803
16	16	7	0.001084
16	16	7	0.001281
16	16	7	0.001297
16	16	7	0.001366
16	16	7	0.001000
16	16	8	0.001403
16	16	8	0.002150
16	16	8	0.000962
16	16	8	0.001764
16	16	8	0.001256
16	16	8	0.002695
16	16	8	0.002110
16	16	8	0.002040
16	16	8	0.000807
16	16	8	0.001090
16	16	9	0.001422
16	16	9	0.001613
16	16	9	0.002606
16	16	9	0.001349
16	16	9	0.001190
16	16	9	0.001831
16	16	9	0.001662
16	16	9	0.001869
16	16	9	0.001018
16	16	9	0.001426
16	16	10	0.001526
16	16	10	0.001932
16	16	10	0.002684
16	16	10	0.002143
16	16	10	0.001420
16	16	10	0.001028
16	16	10	0.001290
16	16	10	0.001506
16	16	10	0.001195
16	16	10	0.001667
16	16	11	0.002456
16	16	11	0.001435
16	16	11	0.001356
16	16	11	0.002290
16	16	11	0.002783
16	16	11	0.002453
16	16	11	0.001023
16	16	11	0.002748
16	16	11	0.001682
16	16	11	0.001438
16	16	12	0.002348
16	16	12	0.002060
16	16	12	0.002161
16	16	12	0.002718
16	16	12	0.001786
16	16	12	0.001623
16	16	12	0.003273
16	16	12	0.002415
16	16	12	0.003020
16	16	12	0.001972
16	16	13	0.002016
16	16	13	0.001518
16	16	13	0.002477
16	16	13	0.003441
16	16	13	0.002930
16	16	13	0.001462
16	16	13	0.001564
16	16	13	0.002404
16	16	13	0.001803
16	16	13	0.002411
16	16	14	0.002287
16	16	14	0.001806
16	16	14	0.003627
16	16	14	0.002708
16	16	14	0.002932
16	16	14	0.002876
16	16	14	0.002163
16	16	14	0.001769
16	16	14	0.002559
