M	P	NP	Time
16	16	1	0.000055
16	16	1	0.000032
16	16	1	0.000057
16	16	1	0.000024
16	16	1	0.000042
16	16	1	0.000033
16	16	1	0.000023
16	16	1	0.000032
16	16	1	0.000039
16	16	1	0.000038
16	16	2	0.000404
16	16	2	0.000330
16	16	2	0.001031
16	16	2	0.000321
16	16	2	0.000296
16	16	2	0.000560
16	16	2	0.000276
16	16	2	0.000257
16	16	2	0.000485
16	16	2	0.000537
16	16	3	0.000971
16	16	3	0.000471
16	16	3	0.000600
16	16	3	0.000740
16	16	3	0.001003
16	16	3	0.000400
16	16	3	0.000420
16	16	3	0.000495
16	16	3	0.000293
16	16	3	0.000418
16	16	4	0.000657
16	16	4	0.000877
16	16	4	0.000596
16	16	4	0.000833
16	16	4	0.001074
16	16	4	0.000750
16	16	4	0.000823
16	16	4	0.000984
16	16	4	0.000581
16	16	4	0.000695
16	16	5	0.001617
16	16	5	0.001332
16	16	5	0.000834
16	16	5	0.000908
16	16	5	0.000781
16	16	5	0.001327
16	16	5	0.001060
16	16	5	0.000729
16	16	5	0.001128
16	16	5	0.001072
16	16	6	0.000981
16	16	6	0.001194
16	16	6	0.000997
16	16	6	0.001287
16	16	6	0.001715
16	16	6	0.001713
16	16	6	0.001567
16	16	6	0.001782
16	16	6	0.002520
16	16	6	0.000845
16	16	7	0.001920
16	16	7	0.001370
16	16	7	0.001277
16	16	7	0.002219
16	16	7	0.001293
16	16	7	0.002097
16	16	7	0.002168
16	16	7	0.001637
16	16	7	0.001548
16	16	7	0.000980
16	16	8	0.002480
16	16	8	0.001971
16	16	8	0.002395
16	16	8	0.002068
16	16	8	0.001929
16	16	8	0.001527
16	16	8	0.001942
16	16	8	0.002211
16	16	8	0.001446
16	16	8	0.001894
16	16	9	0.001239
16	16	9	0.001778
16	16	9	0.001285
16	16	9	0.002083
16	16	9	0.002494
16	16	9	0.001884
16	16	9	0.001935
16	16	9	0.002164
16	16	9	0.001709
16	16	9	0.001494
16	16	10	0.001621
16	16	10	0.001588
16	16	10	0.002181
16	16	10	0.001548
16	16	10	0.001832
16	16	10	0.001672
16	16	10	0.002258
16	16	10	0.002549
16	16	10	0.001339
16	16	10	0.001947
16	16	11	0.001697
16	16	11	0.002682
16	16	11	0.005186
16	16	11	0.001770
16	16	11	0.002498
16	16	11	0.001843
16	16	11	0.002293
16	16	11	0.001624
16	16	11	0.001693
16	16	11	0.002235
16	16	12	0.001768
16	16	12	0.001783
16	16	12	0.001915
16	16	12	0.002480
16	16	12	0.003644
16	16	12	0.002182
16	16	12	0.002068
16	16	12	0.002802
16	16	12	0.003138
16	16	12	0.002078
16	16	13	0.002656
16	16	13	0.003108
16	16	13	0.002105
16	16	13	0.002822
16	16	13	0.002113
16	16	13	0.002356
16	16	13	0.004062
16	16	13	0.002593
16	16	13	0.001894
16	16	13	0.002164
16	16	14	0.003098
16	16	14	0.002641
16	16	14	0.002296
16	16	14	0.003009
16	16	14	0.002238
16	16	14	0.001966
16	16	14	0.004777
16	16	14	0.002250
16	16	14	0.002329
16	16	14	0.002453
16	16	15	0.005084
16	16	15	0.004927
16	16	15	0.002829
16	16	15	0.003564
16	16	15	0.002243
16	16	15	0.002318
16	16	15	0.003065
16	16	15	0.003154
16	16	15	0.002141
16	16	15	0.002454
16	16	16	0.002193
16	16	16	0.002562
16	16	16	0.003789
16	16	16	0.003112
16	16	16	0.003887
16	16	16	0.002535
16	16	16	0.003850
16	16	16	0.004592
16	16	16	0.004459
16	16	16	0.003078
16	160	1	0.000069
16	160	1	0.000071
16	160	1	0.000070
16	160	1	0.000067
16	160	1	0.000068
16	160	1	0.000063
16	160	1	0.000071
16	160	1	0.000064
16	160	1	0.000068
16	160	1	0.000066
16	160	2	0.000365
16	160	2	0.000490
16	160	2	0.000571
16	160	2	0.000364
16	160	2	0.000403
16	160	2	0.000403
16	160	2	0.000752
16	160	2	0.000367
16	160	2	0.000646
16	160	2	0.000570
16	160	3	0.000710
16	160	3	0.000440
16	160	3	0.001048
16	160	3	0.000483
16	160	3	0.000479
16	160	3	0.000680
16	160	3	0.000732
16	160	3	0.000636
16	160	3	0.000679
16	160	3	0.001107
16	160	4	0.001099
16	160	4	0.000887
16	160	4	0.000947
16	160	4	0.001115
16	160	4	0.000777
16	160	4	0.001160
16	160	4	0.001230
16	160	4	0.000924
16	160	4	0.001019
16	160	4	0.000939
16	160	5	0.001501
16	160	5	0.001058
16	160	5	0.001564
16	160	5	0.001047
16	160	5	0.002492
16	160	5	0.000972
16	160	5	0.001080
16	160	5	0.001382
16	160	5	0.001064
16	160	5	0.001607
16	160	6	0.001390
16	160	6	0.001986
16	160	6	0.002051
16	160	6	0.002434
16	160	6	0.001476
16	160	6	0.002806
16	160	6	0.001563
16	160	6	0.001508
16	160	6	0.001394
16	160	6	0.001929
16	160	7	0.001817
16	160	7	0.002307
16	160	7	0.001939
16	160	7	0.001587
16	160	7	0.002918
16	160	7	0.001797
16	160	7	0.002135
16	160	7	0.002282
16	160	7	0.001634
16	160	7	0.001663
16	160	8	0.002127
16	160	8	0.002000
16	160	8	0.002178
16	160	8	0.002274
16	160	8	0.001876
16	160	8	0.002293
16	160	8	0.001939
16	160	8	0.002291
16	160	8	0.002249
16	160	8	0.002515
16	160	9	0.002202
16	160	9	0.003524
16	160	9	0.003255
16	160	9	0.002089
16	160	9	0.001798
16	160	9	0.002426
16	160	9	0.002519
16	160	9	0.002221
16	160	9	0.002803
16	160	9	0.002464
16	160	10	0.002009
16	160	10	0.003228
16	160	10	0.003288
16	160	10	0.002759
16	160	10	0.002323
16	160	10	0.003118
16	160	10	0.002309
16	160	10	0.002200
16	160	10	0.002101
16	160	10	0.002090
16	160	11	0.003079
16	160	11	0.002532
16	160	11	0.002691
16	160	11	0.002486
16	160	11	0.002763
16	160	11	0.003337
16	160	11	0.003306
16	160	11	0.002379
16	160	11	0.002253
16	160	11	0.002819
16	160	12	0.002561
16	160	12	0.002468
16	160	12	0.003762
16	160	12	0.003451
16	160	12	0.002962
16	160	12	0.002513
16	160	12	0.003480
16	160	12	0.003999
16	160	12	0.003517
16	160	12	0.002887
16	160	13	0.002641
16	160	13	0.003049
16	160	13	0.002587
16	160	13	0.003456
16	160	13	0.004664
16	160	13	0.003366
16	160	13	0.002801
16	160	13	0.002668
16	160	13	0.002624
16	160	13	0.002819
16	160	14	0.003293
16	160	14	0.003381
16	160	14	0.003143
16	160	14	0.002990
16	160	14	0.003489
16	160	14	0.003847
16	160	14	0.003157
16	160	14	0.003386
16	160	14	0.003593
16	160	14	0.003325
16	160	15	0.003196
16	160	15	0.003273
16	160	15	0.003124
16	160	15	0.003194
16	160	15	0.004781
16	160	15	0.004831
16	160	15	0.003461
16	160	15	0.003284
16	160	15	0.004208
16	160	15	0.003156
16	160	16	0.004155
16	160	16	0.004333
16	160	16	0.003638
16	160	16	0.003940
16	160	16	0.004650
16	160	16	0.003273
16	160	16	0.004493
16	160	16	0.004037
16	160	16	0.003480
16	160	16	0.006560
16	1600	1	0.000699
16	1600	1	0.000548
16	1600	1	0.000539
16	1600	1	0.000541
16	1600	1	0.000544
16	1600	1	0.000563
16	1600	1	0.000529
16	1600	1	0.000507
16	1600	1	0.000511
16	1600	1	0.000542
16	1600	2	0.001225
16	1600	2	0.001827
16	1600	2	0.001277
16	1600	2	0.001237
16	1600	2	0.001004
16	1600	2	0.000996
16	1600	2	0.001079
16	1600	2	0.001154
16	1600	2	0.001027
16	1600	2	0.001132
16	1600	3	0.001826
16	1600	3	0.002246
16	1600	3	0.001391
16	1600	3	0.002748
16	1600	3	0.001651
16	1600	3	0.001881
16	1600	3	0.002126
16	1600	3	0.002040
16	1600	3	0.001997
16	1600	3	0.002006
16	1600	4	0.002159
16	1600	4	0.002385
16	1600	4	0.002522
16	1600	4	0.002174
16	1600	4	0.002291
16	1600	4	0.001846
16	1600	4	0.002026
16	1600	4	0.001970
16	1600	4	0.002126
16	1600	4	0.002673
16	1600	5	0.003104
16	1600	5	0.002579
16	1600	5	0.003607
16	1600	5	0.002507
16	1600	5	0.002127
16	1600	5	0.002714
